dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,16.0,,Rhizophora mangle,87.67361
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,18.0,,Rhizophora mangle,107.50135
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,19.0,,Rhizophora mangle,118.04828
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,23.0,,Rhizophora mangle,164.31911
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,28.0,,Rhizophora mangle,230.97648
Panama-Chirqui_2,Batipa_4,2014-01-01,2014-12-31,8.30711,-82.2813,51.0,,Rhizophora mangle,652.1405
Panama-Chirqui_2,Batipa_5,2014-01-01,2014-12-31,8.30711,-82.2813,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Batipa_5,2014-01-01,2014-12-31,8.30711,-82.2813,8.6,,Rhizophora mangle,29.93326
Panama-Chirqui_2,Batipa_5,2014-01-01,2014-12-31,8.30711,-82.2813,10.4,,Rhizophora mangle,41.59316
Panama-Chirqui_2,Batipa_5,2014-01-01,2014-12-31,8.30711,-82.2813,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Batipa_5,2014-01-01,2014-12-31,8.30711,-82.2813,12.0,,Rhizophora mangle,53.28438
Panama-Chirqui_2,Batipa_5,2014-01-01,2014-12-31,8.30711,-82.2813,12.4,,Rhizophora mangle,56.39624
Panama-Chirqui_2,Batipa_5,2014-01-01,2014-12-31,8.30711,-82.2813,20.0,,Rhizophora mangle,129.00903
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,18.0,,Rhizophora mangle,107.50135
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,32.0,,Rhizophora mangle,291.03942
Panama-Chirqui_2,Batipa_6,2014-01-01,2014-12-31,8.30711,-82.2813,37.6,,Rhizophora mangle,384.75773
Panama-Chirqui_2,Isla Mono_1,2014-01-01,2014-12-31,8.28891,-82.3313,5.6,,Pelliciera rhizophorae,14.10058
Panama-Chirqui_2,Isla Mono_1,2014-01-01,2014-12-31,8.28891,-82.3313,14.0,,Rhizophora mangle,69.58006
Panama-Chirqui_2,Isla Mono_1,2014-01-01,2014-12-31,8.28891,-82.3313,29.0,,Rhizophora mangle,245.44158
Panama-Chirqui_2,Isla Mono_1,2014-01-01,2014-12-31,8.28891,-82.3313,29.2,,Rhizophora mangle,248.37902
Panama-Chirqui_2,Isla Mono_1,2014-01-01,2014-12-31,8.28891,-82.3313,39.6,,Rhizophora mangle,420.86961
Panama-Chirqui_2,Isla Mono_2,2014-01-01,2014-12-31,8.28891,-82.3313,6.8,,Rhizophora mangle,19.93472
Panama-Chirqui_2,Isla Mono_2,2014-01-01,2014-12-31,8.28891,-82.3313,10.0,,Rhizophora mangle,38.86308
Panama-Chirqui_2,Isla Mono_2,2014-01-01,2014-12-31,8.28891,-82.3313,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Los Algarrobos_1,2014-01-01,2014-12-31,8.30017,-82.4285,6.0,,Rhizophora mangle,8.02578
Panama-Chirqui_2,Los Algarrobos_1,2014-01-01,2014-12-31,8.30017,-82.4285,6.0,,Rhizophora mangle,8.02578
Panama-Chirqui_2,Isla Mono_2,2014-01-01,2014-12-31,8.28891,-82.3313,34.0,,Rhizophora mangle,323.24157
Panama-Chirqui_2,Isla Mono_2,2014-01-01,2014-12-31,8.28891,-82.3313,47.3,,Rhizophora mangle,572.42927
Panama-Chirqui_2,Isla Mono_3,2014-01-01,2014-12-31,8.28891,-82.3313,37.0,,Rhizophora mangle,374.1919
Panama-Chirqui_2,Isla Mono_3,2014-01-01,2014-12-31,8.28891,-82.3313,41.0,,Rhizophora mangle,446.95732
Panama-Chirqui_2,Isla Mono_3,2014-01-01,2014-12-31,8.28891,-82.3313,42.0,,Rhizophora mangle,465.9955
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,6.0,,Pelliciera rhizophorae,16.70885
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,7.3,,Rhizophora mangle,22.53975
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,8.2,,Rhizophora mangle,27.56443
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,13.0,,Rhizophora mangle,61.20306
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,29.5,,Rhizophora mangle,252.81283
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,54.0,,Rhizophora mangle,719.96402
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,58.0,,Rhizophora mangle,814.76254
Panama-Chirqui_2,Isla Mono_4,2014-01-01,2014-12-31,8.28891,-82.3313,58.0,,Rhizophora mangle,814.76254
Panama-Chirqui_2,Isla Mono_5,2014-01-01,2014-12-31,8.28891,-82.3313,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Isla Mono_5,2014-01-01,2014-12-31,8.28891,-82.3313,7.4,,Rhizophora mangle,23.07689
Panama-Chirqui_2,Isla Mono_5,2014-01-01,2014-12-31,8.28891,-82.3313,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Isla Mono_5,2014-01-01,2014-12-31,8.28891,-82.3313,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Isla Mono_5,2014-01-01,2014-12-31,8.28891,-82.3313,64.0,,Rhizophora mangle,966.12814
Panama-Chirqui_2,Isla Mono_6,2014-01-01,2014-12-31,8.28891,-82.3313,22.0,,Rhizophora mangle,152.14962
Panama-Chirqui_2,Isla Mono_6,2014-01-01,2014-12-31,8.28891,-82.3313,27.0,,Rhizophora mangle,216.88418
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Los Algarrobos_1,2014-01-01,2014-12-31,8.30017,-82.4285,6.0,,Rhizophora mangle,8.02578
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,9.4,,Rhizophora mangle,34.91576
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,15.0,,Rhizophora mangle,78.40634
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,15.0,,Rhizophora mangle,78.40634
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,20.0,,Rhizophora mangle,129.00903
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,26.0,,Rhizophora mangle,203.16835
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,35.0,,Rhizophora mangle,339.87481
Panama-Chirqui_2,Los Algarrobos_1,2014-01-01,2014-12-31,8.30017,-82.4285,6.0,,Rhizophora mangle,8.02578
Panama-Chirqui_2,Limones_2,2014-01-01,2014-12-31,8.27676,-82.3499,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Limones_2,2014-01-01,2014-12-31,8.27676,-82.3499,12.0,,Rhizophora mangle,53.28438
Panama-Chirqui_2,Limones_2,2014-01-01,2014-12-31,8.27676,-82.3499,15.0,,Rhizophora mangle,78.40634
Panama-Chirqui_2,Limones_2,2014-01-01,2014-12-31,8.27676,-82.3499,20.0,,Rhizophora mangle,129.00903
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,9.5,,Pelliciera rhizophorae,51.74813
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,13.0,,Rhizophora mangle,61.20306
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,14.0,,Rhizophora mangle,69.58006
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,17.0,,Rhizophora mangle,97.37428
Panama-Chirqui_2,El Represo_2,2014-01-01,2014-12-31,8.30401,-82.3656,6.0,,Rhizophora mangle,15.65026
Panama-Chirqui_2,Limones_3,2014-01-01,2014-12-31,8.27676,-82.3499,26.0,,Rhizophora mangle,203.16835
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,5.3,,Pelliciera rhizophorae,12.3144
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,5.8,,Pelliciera rhizophorae,15.3719
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,7.0,,Pelliciera rhizophorae,24.41382
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,7.0,,Pelliciera rhizophorae,24.41382
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,7.0,,Pelliciera rhizophorae,24.41382
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,8.0,,Pelliciera rhizophorae,33.90751
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,8.4,,Pelliciera rhizophorae,38.23152
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,9.0,,Pelliciera rhizophorae,45.30344
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,9.0,,Pelliciera rhizophorae,45.30344
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,9.0,,Pelliciera rhizophorae,45.30344
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,10.0,,Pelliciera rhizophorae,58.70763
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,11.0,,Pelliciera rhizophorae,74.21994
Panama-Chirqui_2,Limones_4,2014-01-01,2014-12-31,8.27676,-82.3499,24.0,,Pelliciera rhizophorae,505.84124
Panama-Chirqui_2,El R’o_1,2014-01-01,2014-12-31,8.33466,-82.4212,6.0,,Rhizophora mangle,8.02578
Panama-Chirqui_2,Limones_5,2014-01-01,2014-12-31,8.27676,-82.3499,9.0,,Rhizophora racemosa,38.74722
Panama-Chirqui_2,Limones_5,2014-01-01,2014-12-31,8.27676,-82.3499,35.0,,Rhizophora racemosa,1323.69182
Panama-Chirqui_2,Limones_6,2014-01-01,2014-12-31,8.27676,-82.3499,8.6,,Rhizophora racemosa,34.42754
Panama-Chirqui_2,Limones_6,2014-01-01,2014-12-31,8.27676,-82.3499,18.0,,Rhizophora racemosa,234.91918
Panama-Chirqui_2,Limones_6,2014-01-01,2014-12-31,8.27676,-82.3499,40.0,,Rhizophora racemosa,1873.12149
Panama-Chirqui_2,Limones_6,2014-01-01,2014-12-31,8.27676,-82.3499,48.0,,Rhizophora racemosa,3009.10392
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,5.5,,Rhizophora mangle,13.80718
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,6.2,,Rhizophora mangle,16.98898
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,7.8,,Rhizophora mangle,25.2786
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,8.4,,Rhizophora mangle,28.73854
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,8.5,,Rhizophora mangle,29.33333
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Los Algarrobos_1,2014-01-01,2014-12-31,8.30017,-82.4285,6.4,,Rhizophora mangle,8.97439
Panama-Chirqui_2,Limones_1,2014-01-01,2014-12-31,8.27676,-82.3499,7.0,,Rhizophora mangle,16.76841
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,7.0,,Rhizophora mangle,10.48026
Panama-Chirqui_2,Las Matita_2,2014-01-01,2014-12-31,8.31786,-82.4404,7.0,,Rhizophora mangle,10.48026
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,10.0,,Pelliciera rhizophorae,58.70763
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,11.0,,Pelliciera rhizophorae,74.21994
Panama-Chirqui_2,Las Matita_5,2014-01-01,2014-12-31,8.31786,-82.4404,7.0,,Rhizophora mangle,10.48026
Panama-Chirqui_2,Los Algarrobos_6,2014-01-01,2014-12-31,8.30017,-82.4285,7.0,,Rhizophora mangle,10.48026
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,15.0,,Rhizophora mangle,78.40634
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,66.0,,Rhizophora mangle,1018.9849
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,El R’o_5,2014-01-01,2014-12-31,8.33466,-82.4212,7.0,,Pelliciera rhizophorae,12.20691
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,7.5,,Rhizophora mangle,23.61937
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,8.0,,Rhizophora mangle,13.20553
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,8.0,,Rhizophora mangle,13.20553
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Las Matita_2,2014-01-01,2014-12-31,8.31786,-82.4404,8.0,,Pelliciera rhizophorae,16.95376
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,14.0,,Pelliciera rhizophorae,134.32893
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,29.0,,Pelliciera rhizophorae,805.73764
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,5.5,,Rhizophora mangle,13.462
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,7.8,,Rhizophora mangle,25.2786
Panama-Chirqui_2,Las Matita_6,2014-01-01,2014-12-31,8.31786,-82.4404,8.0,,Rhizophora mangle,13.20553
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Las Matita_6,2014-01-01,2014-12-31,8.31786,-82.4404,8.0,,Rhizophora mangle,13.20553
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,10.0,,Rhizophora mangle,38.86308
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,10.0,,Rhizophora mangle,38.86308
Panama-Chirqui_2,Las Matita_6,2014-01-01,2014-12-31,8.31786,-82.4404,8.0,,Rhizophora mangle,13.20553
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,11.0,,Pelliciera rhizophorae,74.21994
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Los Algarrobos_1,2014-01-01,2014-12-31,8.30017,-82.4285,8.0,,Rhizophora mangle,13.20553
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,22.0,,Rhizophora mangle,152.14962
Panama-Chirqui_2,Boca del R’o_4,2014-01-01,2014-12-31,8.33622,-82.4348,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Boca del R’o_4,2014-01-01,2014-12-31,8.33622,-82.4348,6.4,,Rhizophora mangle,17.94877
Panama-Chirqui_2,Boca del R’o_4,2014-01-01,2014-12-31,8.33622,-82.4348,10.0,,Rhizophora mangle,38.86308
Panama-Chirqui_2,Boca del R’o_4,2014-01-01,2014-12-31,8.33622,-82.4348,17.0,,Pelliciera rhizophorae,216.57031
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,6.8,,Rhizophora mangle,19.93472
Panama-Chirqui_2,Boca del R’o_2,2014-01-01,2014-12-31,8.33622,-82.4348,8.5,,Rhizophora mangle,14.66666
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,8.5,,Rhizophora mangle,14.66666
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,16.19202
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,9.4,,Pelliciera rhizophorae,50.4184
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,10.0,,Rhizophora mangle,38.86308
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,10.0,,Rhizophora mangle,38.86308
Panama-Chirqui_2,Boca del R’o_1,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,16.19202
Panama-Chirqui_2,Boca del R’o_3,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,16.19202
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,16.19202
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,15.0,,Rhizophora mangle,78.40634
Panama-Chirqui_2,Boca del R’o_5,2014-01-01,2014-12-31,8.33622,-82.4348,25.0,,Rhizophora mangle,189.83284
Panama-Chirqui_2,Las Matita_1,2014-01-01,2014-12-31,8.31786,-82.4404,9.0,,Rhizophora mangle,16.19202
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,6.0,,Rhizophora mangle,16.05155
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,7.0,,Rhizophora mangle,20.96051
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,8.0,,Rhizophora mangle,26.41107
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,9.0,,Rhizophora mangle,32.38404
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,9.4,,Pelliciera rhizophorae,50.4184
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,11.0,,Rhizophora mangle,45.83402
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,12.0,,Pelliciera rhizophorae,91.93491
Panama-Chirqui_2,Las Matita_2,2014-01-01,2014-12-31,8.31786,-82.4404,9.0,,Pelliciera rhizophorae,22.65172
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,15.0,,Pelliciera rhizophorae,159.17654
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,16.0,,Pelliciera rhizophorae,186.56481
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,16.0,,Rhizophora mangle,87.67361
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,16.0,,Pelliciera rhizophorae,186.56481
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,17.0,,Rhizophora mangle,97.37428
Panama-Chirqui_2,Boca del R’o_6,2014-01-01,2014-12-31,8.33622,-82.4348,49.0,,Rhizophora mangle,608.50845
Panama-Chirqui_2,Las Matita_2,2014-01-01,2014-12-31,8.31786,-82.4404,9.0,,Rhizophora mangle,16.19202
Panama-Chirqui_2,Las Matita_1,2014-01-01,2014-12-31,8.31786,-82.4404,7.0,,Rhizophora mangle,20.96051
